// Compost colors for createfood. You may add your own colors, change existing ones, or remove colors that aren't needed.
apple_cheesecake, #ff9b64
beef_bun_bacon, #a0583e
beef_bun_bacon_lettuce, #896b3a
beef_bun_bacon_lettuce_tomato, #9d5c3d
beef_bun_cheese, #da9425
beef_bun_cheese_bacon, #bf7039
beef_bun_cheese_bacon_lettuce, #91703a
beef_bun_cheese_bacon_lettuce_tomato, #a4623c
beef_bun_cheese_lettuce, #7f8a2c
beef_bun_cheese_lettuce_tomato, #a57333
beef_bun_cheese_onion, #f2aa36
beef_bun_cheese_onion_bacon, #d08044
beef_bun_cheese_onion_bacon_lettuce, #9b7941
beef_bun_cheese_onion_lettuce, #8c9434
beef_bun_cheese_onion_lettuce_tomato, #ae7a3a
beef_bun_cheese_tomato, #d67833
beef_bun_crimson_fungus, #a13414
beef_bun_lettuce, #66762d
beef_bun_lettuce_tomato, #946534
beef_bun_onion, #d49465
beef_bun_onion_bacon, #c3795a
beef_bun_onion_bacon_lettuce, #977644
beef_bun_onion_lettuce, #7d893d
beef_bun_onion_lettuce_tomato, #a57540
beef_bun_peanut_butter, #ab5e1e
beef_bun_peanut_butter_bacon, #af5e34
beef_bun_tomato, #ae5537
beef_bun_warped_fungus, #646c51
beef_burrito_rice, #e8bb75
beef_calzone, #ee9643
beef_meatball, #651912
beef_meatball_sandwich, #94641e
beef_meatball_stick_1, #613215
beef_meatball_stick_2, #5f2311
beef_meatball_stick_3, #5f1e11
beef_rice_bowl, #836530
beef_taco, #dcab64
beef_taco_lettuce, #c5b161
beef_taco_lettuce_taco_sauce, #d2a862
beef_wrap_lettuce_beetroot, #dcaf66
berry_cream_cake, #ffd3d0
berry_cream_cake_chorus_fruit, #ffc0cd
berry_cream_cake_glow_berry, #ffc9bb
berry_cream_cake_slice, #fc9e83
berry_cream_cake_slice_chorus_fruit, #fa9784
berry_cream_cake_slice_glow_berry, #fb9d7a
berry_cream_cake_slice_sweet_berry, #fb987a
berry_cream_cake_sweet_berry, #ffc0bb
berry_cream_chocolate, #dd6c62
berry_cream_chocolate_cupcake, #dc9aa5
berry_cream_chocolate_donut, #fcaea2
berry_cream_chocolate_pastry, #b67632
berry_cream_chocolate_sweet_roll, #f8b2b1
berry_cream_chocolate_sweet_roll_sweet_berry, #cf7d7a
berry_cream_cupcake, #ffbbb9
berry_cream_dark_chocolate, #834130
berry_cream_donut, #ffc6a5
berry_cream_frosting_bottle, #ffedfc
berry_cream_frosting_bucket, #edc6c6
berry_cream_frosting_piping_bag, #ffa5a1
berry_cream_mini_waffle, #ffb9a1
berry_cream_mini_waffle_sweet_berry, #f7896b
berry_cream_pastry, #ffae43
berry_cream_sweet_roll, #ffccb8
berry_cream_sweet_roll_sweet_berry, #fe9780
berry_cream_white_chocolate, #ffd0af
berry_custard_bottle, #faa5bf
berry_custard_bucket, #d39698
berry_ice_cream_bowl, #c39180
berry_ice_cream_bucket, #dec6d2
berry_ice_cream_cone, #ffc3b8
berry_ice_cream_sandwich, #a5502d
berry_ice_cream_stick, #a07c69
berry_jam_bottle, #fff7ff
berry_jam_bucket, #d3b5bb
berry_jam_chocolate_donut, #a5622f
berry_jam_donut, #ff9a36
berry_jam_sandwich, #d09a54
berry_juice_bottle, #f1dae8
berry_juice_bucket, #c5abae
berry_milkshake_bottle, #ffe4fa
berry_milkshake_bucket, #ddc5d9
berry_muffin, #e86b0b
berry_pie, #ffb175
berry_pie_filling_bucket, #cc9bb1
berry_pie_slice, #ff9b5a
berry_popsicle, #ffb8aa
biscuit, #d4aa3c
black_gelatin_dessert_slice, #232328
black_gelatin_mix_bucket, #949494
blackstrap_molasses_bottle, #9898a2
blackstrap_molasses_bucket, #938c8a
blue_gelatin_dessert_slice, #40a8ff
blue_gelatin_mix_bucket, #96a8ae
boiled_egg, #ffffc3
boiled_egg_peeled, #ffffff
boiled_egg_peeled_salt, #ffffff
bread_carrot, #a8731c
bread_crumbs, #bc9154
bread_fried_egg, #be9141
bread_lettuce, #948026
bread_lettuce_carrot, #9d7922
bread_pudding_bowl, #8c6216
bread_pudding_bucket, #b6aa90
bread_slice, #d6a23e
bread_slice_apple_jam, #d7c268
bread_slice_bacon, #c06e4a
bread_slice_bacon_lettuce, #a56f4a
bread_slice_bacon_lettuce_tomato, #ca6e50
bread_slice_beetroot, #b56c32
bread_slice_beetroot_lettuce, #7d6c2f
bread_slice_berry_jam, #e8a58e
bread_slice_cheese, #f2b616
bread_slice_chorus_fruit_jam, #bc6697
bread_slice_glow_berry_jam, #e6a54e
bread_slice_honey, #e8a712
bread_slice_lettuce, #6e9630
bread_slice_lettuce_tomato, #a57c39
bread_slice_melon_jam, #da6651
bread_slice_mutton, #ab5a33
bread_slice_mutton_beetroot, #9d462f
bread_slice_peanut_butter, #b8641c
bread_slice_scrambled_egg, #f7c644
bread_slice_tomato, #e08443
breakfast_bar, #875f2d
breakfast_plate, #d4a450
brown_gelatin_dessert_slice, #a1663d
brown_gelatin_mix_bucket, #9e9a96
brown_sugar, #f4781f
bun, #c08e2a
butter, #ffea5f
butter_dough, #ffffc9
butter_dough_small, #ffffc2
butterscotch, #f79e44
butterscotch_apple, #e07a43
butterscotch_apple_slice, #ffd78e
butterscotch_berries, #cc8758
butterscotch_bucket, #d3b493
butterscotch_chip_chocolate_cookie, #9b6e37
butterscotch_chip_chocolate_milkshake_bottle, #f0c9c9
butterscotch_chip_cookie, #ffb85a
butterscotch_chip_ice_cream_cone, #ffe09e
butterscotch_chip_milkshake_bottle, #ffffff
butterscotch_chip_mini_waffle, #ffa147
butterscotch_chip_muffin, #e8790a
butterscotch_chip_waffle, #ff9d47
butterscotch_chips, #ffcf84
butterscotch_chocolate, #da765b
butterscotch_chocolate_pastry, #b47222
butterscotch_chocolate_sweet_roll, #c5803a
butterscotch_dark_chocolate, #824b29
butterscotch_fudge, #ffbf7c
butterscotch_fudge_bucket, #c9b18a
butterscotch_fudge_ice_cream_bowl, #c3a065
butterscotch_marshmallow_stick, #deb97f
butterscotch_pastry, #ffab33
butterscotch_pretzel_stick, #e4af4e
butterscotch_sweet_roll, #f29b41
butterscotch_toast, #c38c40
butterscotch_white_chocolate, #ffdaa8
cacao_butter, #fff2b9
cacao_butter_bucket, #edd4bc
cacao_mass_bucket, #9b8e82
cacao_nibs, #3d2915
cake_base, #e36f2a
cake_batter_bucket, #e4dcd2
cane_syrup_bottle, #fffffb
cane_syrup_bucket, #c9b69a
caramel, #f86f04
caramel_apple, #ff5a16
caramel_apple_slice, #ffc25e
caramel_berries, #e87011
caramel_bucket, #d69d8a
caramel_chip_chocolate_cookie, #8d5728
caramel_chip_chocolate_milkshake_bottle, #e6bebf
caramel_chip_cookie, #ffa24a
caramel_chip_ice_cream_cone, #ffd697
caramel_chip_milkshake_bottle, #f8feff
caramel_chip_mini_waffle, #f58c37
caramel_chip_muffin, #e47004
caramel_chip_waffle, #ff9641
caramel_chips, #ac4805
caramel_chocolate, #e47351
caramel_chocolate_pastry, #b6701e
caramel_chocolate_sweet_roll, #eb6b32
caramel_dark_chocolate, #8c4820
caramel_fudge, #ff7616
caramel_fudge_bucket, #c8a075
caramel_fudge_ice_cream_bowl, #c39455
caramel_marshmallow_stick, #eda751
caramel_pastry, #ffa430
caramel_popcorn, #ffa857
caramel_pretzel_stick, #eea22d
caramel_sweet_roll, #ff8439
caramel_toast, #c97020
caramel_white_chocolate, #ffd79e
cheese_biscuit, #ffc026
cheese_biscuit_sandwich, #deaa30
cheese_block, #ffd048
cheese_calzone, #ee9643
cheese_pizza, #ffc536
cheese_pizza_slice, #fbb523
cheese_pretzel_stick, #f4b129
cheese_sandwich, #d39d34
cheese_slice, #ffc944
cheeseburger, #b98628
cheeseburger_bacon, #b9822d
cheeseburger_bacon_lettuce, #9b7d2a
cheeseburger_bacon_lettuce_tomato, #a0752a
cheeseburger_lettuce, #968328
cheeseburger_lettuce_tomato, #9d7a29
cheeseburger_onion, #c08c36
cheeseburger_onion_bacon, #be8430
cheeseburger_onion_bacon_lettuce, #a1822f
cheeseburger_onion_lettuce, #9d892c
cheeseburger_onion_lettuce_tomato, #a17f2c
cheeseburger_tomato, #b17a28
cheesecake, #fff7b8
cheesecake_filling_bucket, #d9d4d0
cheesecake_slice, #ffffcf
chicken_bun, #da7522
chicken_bun_bacon, #c56837
chicken_bun_bacon_lettuce, #987039
chicken_bun_cheese, #f29d20
chicken_bun_cheese_bacon, #d47936
chicken_bun_cheese_bacon_lettuce, #9d7539
chicken_bun_cheese_lettuce, #8d902a
chicken_bun_cheese_lettuce_tomato, #b17632
chicken_bun_cheese_tomato, #e87d30
chicken_bun_lettuce, #838228
chicken_bun_lettuce_tomato, #a86c30
chicken_bun_tomato, #d4612d
chicken_burger, #ab7322
chicken_burger_bacon, #b2732c
chicken_burger_bacon_lettuce, #a07d2a
chicken_burger_lettuce, #9a8026
chicken_burger_lettuce_tomato, #a07826
chicken_burger_tomato, #ac6e25
chicken_burrito_rice, #f8ca84
chicken_calzone, #ee9643
chicken_cheeseburger, #b98323
chicken_cheeseburger_bacon, #be8229
chicken_cheeseburger_bacon_lettuce, #a2802a
chicken_cheeseburger_lettuce, #a08628
chicken_cheeseburger_lettuce_tomato, #a57d28
chicken_cheeseburger_tomato, #bc7f25
chicken_nuggets, #f77c23
chicken_patty, #eb7522
chicken_rice_bowl, #916f33
chicken_taco, #f5c580
chicken_taco_lettuce, #d3bf70
chicken_taco_lettuce_taco_sauce, #ddb26e
chicken_wrap_onion_tomato, #f4bf75
chocolate_apple, #dc5f39
chocolate_apple_slice, #f4a166
chocolate_bottle, #e0c5cc
chocolate_cake_base, #793e1f
chocolate_cake_batter_bucket, #bf9d89
chocolate_chip_chocolate_cookie, #80542c
chocolate_chip_chocolate_milkshake_bottle, #e8bfbf
chocolate_chip_ice_cream_cone, #ffd398
chocolate_chip_milkshake_bottle, #f4feff
chocolate_chip_mini_waffle, #e8893d
chocolate_chip_muffin, #dd6e04
chocolate_chip_waffle, #fe9343
chocolate_chips, #7a4826
chocolate_chocolate_pastry, #a7661e
chocolate_cream_cake, #c55211
chocolate_cream_cake_butterscotch, #ca5815
chocolate_cream_cake_caramel, #c65211
chocolate_cream_cake_chocolate, #c25112
chocolate_cream_cake_dark_chocolate, #c05112
chocolate_cream_cake_slice, #c9551b
chocolate_cream_cake_slice_butterscotch, #d26123
chocolate_cream_cake_slice_caramel, #ca571b
chocolate_cream_cake_slice_chocolate, #c3541c
chocolate_cream_cake_slice_dark_chocolate, #c2541e
chocolate_cream_cake_slice_toffee, #c9551f
chocolate_cream_cake_slice_white_chocolate, #cf5f25
chocolate_cream_cake_toffee, #c55214
chocolate_cream_cake_white_chocolate, #c95816
chocolate_cream_chocolate_cake, #a84a26
chocolate_cream_chocolate_cake_slice, #904322
chocolate_cream_chocolate_cupcake, #a84e28
chocolate_cream_chocolate_donut, #bb6829
chocolate_cream_chocolate_sweet_roll, #b55726
chocolate_cream_cupcake, #eb6f3a
chocolate_cream_donut, #e0802d
chocolate_cream_frosting_bottle, #e8bbb8
chocolate_cream_frosting_bucket, #a78a75
chocolate_cream_frosting_piping_bag, #f29179
chocolate_cream_mini_waffle, #f07c39
chocolate_cream_sweet_roll, #e3722d
chocolate_cupcake_base, #7a4823
chocolate_custard_bottle, #ddb1ab
chocolate_custard_bucket, #be9a8c
chocolate_donut_base, #a05f28
chocolate_donut_hole, #9d3704
chocolate_donut_hole_sugar, #bf5a28
chocolate_donut_sugar, #f4b982
chocolate_fudge, #a15029
chocolate_fudge_bucket, #bb968a
chocolate_fudge_ice_cream_bowl, #b18c58
chocolate_graham_cracker, #943700
chocolate_graham_cracker_apple_ice_cream, #c8b176
chocolate_graham_cracker_berry_ice_cream, #ee9ea2
chocolate_graham_cracker_chocolate_ice_cream, #862c00
chocolate_graham_cracker_chorus_fruit_ice_cream, #dc6cbf
chocolate_graham_cracker_crumbs, #c67c5c
chocolate_graham_cracker_glow_berry_ice_cream, #e7b462
chocolate_graham_cracker_ice_cream, #d7b69e
chocolate_graham_cracker_melon_ice_cream, #ff96a2
chocolate_graham_cracker_neapolitan_scoop_1, #7d2d00
chocolate_graham_cracker_neapolitan_scoop_2, #945b3a
chocolate_graham_cracker_neapolitan_scoop_3, #af735f
chocolate_graham_cracker_pie_crust, #914d34
chocolate_ice_cream_bowl, #9d511b
chocolate_ice_cream_bucket, #bf9687
chocolate_ice_cream_cone, #d95c19
chocolate_ice_cream_sandwich, #822f00
chocolate_ice_cream_stick, #73481b
chocolate_marshmallow_stick, #c8895a
chocolate_milk_bottle, #fbdae3
chocolate_milk_bucket, #b9aba8
chocolate_milkshake_bottle, #f0c6c8
chocolate_milkshake_bucket, #c8a89e
chocolate_pastry, #ffa030
chocolate_pastry_base, #ab662c
chocolate_pie_graham_cracker, #dc6c23
chocolate_pie_graham_cracker_slice, #c96830
chocolate_pretzel_stick, #d48d33
chocolate_sugar_dough, #ae763e
chocolate_sugar_dough_small, #ab753d
chocolate_sweet_roll_base, #7c5020
chocolate_toast, #b96c2d
chorus_fruit_cheesecake, #f7908c
chorus_fruit_cheesecake_slice, #ffa8b6
chorus_fruit_cream_cake, #fb6edd
chorus_fruit_cream_cake_chorus_fruit, #f564d9
chorus_fruit_cream_cake_glow_berry, #f86cc6
chorus_fruit_cream_cake_slice, #e16697
chorus_fruit_cream_cake_slice_chorus_fruit, #e36696
chorus_fruit_cream_cake_slice_glow_berry, #e46b8c
chorus_fruit_cream_cake_slice_sweet_berry, #e4668c
chorus_fruit_cream_cake_sweet_berry, #f864c8
chorus_fruit_cream_chocolate, #cc6172
chorus_fruit_cream_chocolate_cupcake, #d36ebf
chorus_fruit_cream_chocolate_donut, #d272b9
chorus_fruit_cream_chocolate_pastry, #b16c34
chorus_fruit_cream_chocolate_sweet_roll, #ca6fc8
chorus_fruit_cream_chocolate_sweet_roll_chorus_fruit, #af65a8
chorus_fruit_cream_cupcake, #ff8ed2
chorus_fruit_cream_dark_chocolate, #733640
chorus_fruit_cream_donut, #f78abc
chorus_fruit_cream_frosting_bottle, #f4c5ff
chorus_fruit_cream_frosting_bucket, #d4abe4
chorus_fruit_cream_frosting_piping_bag, #ff91ff
chorus_fruit_cream_mini_waffle, #ff96b5
chorus_fruit_cream_mini_waffle_chorus_fruit, #f08991
chorus_fruit_cream_pastry, #ffa447
chorus_fruit_cream_sweet_roll, #f789cf
chorus_fruit_cream_sweet_roll_chorus_fruit, #dd7faf
chorus_fruit_cream_white_chocolate, #ffc5be
chorus_fruit_custard_bottle, #fb9ee7
chorus_fruit_custard_bucket, #cd91b4
chorus_fruit_ice_cream_bowl, #c06896
chorus_fruit_ice_cream_bucket, #d6a4e0
chorus_fruit_ice_cream_cone, #ff97d2
chorus_fruit_ice_cream_sandwich, #a24737
chorus_fruit_ice_cream_stick, #9a696f
chorus_fruit_jam_bottle, #ffebff
chorus_fruit_jam_bucket, #d3aedc
chorus_fruit_jam_chocolate_donut, #a46136
chorus_fruit_jam_donut, #ff983d
chorus_fruit_jam_sandwich, #c58954
chorus_fruit_juice_bottle, #d79eff
chorus_fruit_juice_bucket, #b99ec3
chorus_fruit_milkshake_bottle, #deb9ff
chorus_fruit_milkshake_bucket, #bf9ec8
chorus_fruit_muffin, #e46b25
chorus_fruit_pie, #ffb194
chorus_fruit_pie_filling_bucket, #be96b2
chorus_fruit_pie_slice, #ff9b76
chorus_fruit_popsicle, #cc7dab
chorus_fruit_slice, #bf8ab5
cinnamon_sweet_roll_base, #ff7336
cloth_filter, #fff7c6
cloth_filter_cacao_mass, #b68e6b
cloth_filter_egg, #fff593
cloth_filter_egg_yolk, #ffee83
cloth_filter_pressed_cocoa, #e3bb90
cloth_sack, #b56f3c
cocoa_powder, #573626
coffee_toffee, #753a29
coffee_toffee_bucket, #a28e7a
coffee_toffee_fudge, #6c3200
coffee_toffee_fudge_bucket, #a18978
condensed_milk_bottle, #ffffff
condensed_milk_bucket, #e3ded0
cooked_rabbit_cuts, #d27647
cooked_tropical_fish, #ffa16e
cooked_tropical_fish_slice, #de966f
cookie_cream_pie, #d09e87
cookie_cream_pie_slice, #ffdebf
cookie_crumbs, #c57944
corn_flour, #ffffb9
corn_stick, #ffb537
cotton_candy_stick, #ffffff
cream_cake, #fff2d0
cream_cake_chorus_fruit, #ffcdb6
cream_cake_glow_berry, #ffd7a5
cream_cake_slice, #fcb687
cream_cake_slice_chorus_fruit, #faac87
cream_cake_slice_glow_berry, #fbb17f
cream_cheese, #fffff0
cream_cheese_bucket, #d7d4d0
cream_chocolate, #dd8379
cream_chocolate_cake, #ffebd2
cream_chocolate_cake_slice, #cca283
cream_chocolate_cupcake, #d2b594
cream_chocolate_donut, #fabe90
cream_chocolate_pastry, #b57832
cream_chocolate_sweet_roll, #edd6ae
cream_chocolate_sweet_roll_chorus_fruit, #c6a797
cream_chocolate_sweet_roll_glow_berry, #e1b17a
cream_chocolate_sweet_roll_sweet_berry, #c89679
cream_cupcake, #ffd6a8
cream_dark_chocolate, #845747
cream_donut, #ffd794
cream_frosting_bottle, #ffffff
cream_frosting_bucket, #e8e3d9
cream_frosting_piping_bag, #ddbea4
cream_mini_waffle, #ffd293
cream_mini_waffle_chorus_fruit, #f0a77d
cream_mini_waffle_glow_berry, #ffaf65
cream_mini_waffle_sweet_berry, #f19762
cream_pastry, #ffb143
cream_pie_chocolate_graham_cracker, #d6a590
cream_pie_chocolate_graham_cracker_slice, #ffeecf
cream_pie_filling_bucket, #e8e3dd
cream_pie_graham_cracker, #fbb47a
cream_pie_graham_cracker_slice, #fffbc0
cream_sweet_roll_chorus_fruit, #f4c09e
cream_sweet_roll_glow_berry, #ffca82
cream_sweet_roll_sweet_berry, #f5af80
cream_white_chocolate, #ffe6c5
creme_brulee_bottle, #fff2dc
cupcake_base, #ffac62
custard_bottle, #ffffff
custard_bucket, #d9d3c9
custard_sugar_bottle, #ffffff
cyan_gelatin_dessert_slice, #1ec5da
cyan_gelatin_mix_bucket, #93a1a1
dark_chocolate_apple, #843416
dark_chocolate_apple_slice, #c99357
dark_chocolate_berries, #472922
dark_chocolate_bottle, #c8b5be
dark_chocolate_bucket, #9a8480
dark_chocolate_chip_chocolate_cookie, #7a522d
dark_chocolate_chip_chocolate_milkshake_bottle, #e0bec2
dark_chocolate_chip_cookie, #fc9d50
dark_chocolate_chip_ice_cream_cone, #ffd39a
dark_chocolate_chip_milkshake_bottle, #f2feff
dark_chocolate_chip_mini_waffle, #e3863d
dark_chocolate_chip_muffin, #dc6f07
dark_chocolate_chip_waffle, #fc9444
dark_chocolate_chips, #4d2a1b
dark_chocolate_chocolate_pastry, #a5651e
dark_chocolate_fudge, #793211
dark_chocolate_fudge_bucket, #9e8d84
dark_chocolate_marshmallow_stick, #a07a4b
dark_chocolate_pastry, #ff9e30
dark_chocolate_pretzel_stick, #b88329
dark_chocolate_toast, #9d5a22
diced_onion, #fffff8
diced_tomato, #ff4a4d
donut_base, #ff9b2f
donut_hole, #ffb84e
donut_hole_sugar, #ffd970
donut_sugar, #fff087
dragon_bun, #6b3e70
dragon_bun_crimson_fungus, #942d2a
dragon_bun_warped_fungus, #526664
dragon_burger, #986e30
dragon_burger_crimson_fungus, #a25c26
dragon_burger_warped_fungus, #867541
dragon_patty, #62348d
dried_coffee_beans, #412819
dumpling_wrappers, #fffbca
egg_bucket, #d4cdaf
egg_burrito, #ffd47c
egg_burrito_bacon, #fed07c
egg_burrito_cheese, #ffd278
egg_burrito_cheese_bacon, #ffcd78
egg_burrito_cheese_sausage, #fccd75
egg_burrito_cheese_sausage_bacon, #fbc973
egg_burrito_sausage, #fcd079
egg_powder, #ffffea
egg_whites_bottle, #ffffff
egg_whites_bucket, #cdcac5
egg_yolk, #ffff55
eggplant_bun, #9d8079
eggplant_bun_cheese, #d4943a
eggplant_bun_cheese_lettuce, #798737
eggplant_bun_cheese_lettuce_tomato, #a0703c
eggplant_bun_cheese_tomato, #cf7543
eggplant_bun_lettuce, #617843
eggplant_bun_lettuce_tomato, #8d6243
eggplant_bun_tomato, #ac625e
eggplant_burger, #a0753d
eggplant_burger_lettuce, #897a30
eggplant_burger_tomato, #a06e36
eggplant_cheeseburger, #ae7f34
eggplant_cheeseburger_lettuce, #93822f
eggplant_cheeseburger_lettuce_tomato, #98792f
eggplant_cheeseburger_tomato, #b48033
eggshell, #fff1c9
endermite_meatball, #905098
endermite_meatball_sandwich, #a4723a
endermite_meatball_stick_1, #7f525c
endermite_meatball_stick_2, #704365
endermite_meatball_stick_3, #734170
espresso_powder, #522908
fish_bacon_pizza, #feb94a
fish_bacon_pizza_slice, #ebab36
fish_burrito_rice, #f8ca86
fish_calzone, #ee9643
fish_chowder_bowl, #b18650
fish_chowder_bucket, #cfc2b6
fish_onion_pizza, #ffcd75
fish_onion_pizza_slice, #f1b852
fish_pizza, #ffc24d
fish_pizza_slice, #f2b437
fish_rice_bowl, #936f36
fish_sticks, #c28746
fish_taco, #f1c582
fish_taco_kelp, #c9ac6e
fish_taco_kelp_taco_sauce, #d4a46b
fish_wrap_kelp_onion, #e4bb75
fishcake, #b8750a
fried_egg_hash_brown_sandwich, #c99840
fried_egg_plate, #9a7640
fried_pita_bread, #f4c980
fruit_smoothie_bottle, #ffc8f2
fruit_smoothie_bucket, #d99eab
gelatin, #ffffff
gelatin_dessert_slice, #fefefe
gelatin_mix_bucket, #bebbbb
glow_berry_cheesecake, #e6a854
glow_berry_cheesecake_slice, #ffd27d
glow_berry_cookie, #ffbc5f
glow_berry_cream_cake, #ffb96b
glow_berry_cream_cake_chorus_fruit, #ffa770
glow_berry_cream_cake_glow_berry, #ffb15f
glow_berry_cream_cake_slice, #ee9150
glow_berry_cream_cake_slice_chorus_fruit, #ed8c57
glow_berry_cream_cake_slice_glow_berry, #ee904e
glow_berry_cream_cake_slice_sweet_berry, #ee8c4e
glow_berry_cream_cake_sweet_berry, #ffa75f
glow_berry_cream_chocolate, #d46f54
glow_berry_cream_chocolate_cupcake, #c89a52
glow_berry_cream_chocolate_donut, #eaab5b
glow_berry_cream_chocolate_pastry, #b47522
glow_berry_cream_chocolate_sweet_roll, #e8af5e
glow_berry_cream_chocolate_sweet_roll_glow_berry, #de9847
glow_berry_cream_cupcake, #ffbb66
glow_berry_cream_dark_chocolate, #7c4423
glow_berry_cream_donut, #ffc35e
glow_berry_cream_frosting_bottle, #fffbd4
glow_berry_cream_frosting_bucket, #e6caa2
glow_berry_cream_frosting_piping_bag, #f2b67a
glow_berry_cream_mini_waffle, #ffbb5e
glow_berry_cream_mini_waffle_glow_berry, #ffa248
glow_berry_cream_pastry, #ffae34
glow_berry_cream_sweet_roll, #ffc965
glow_berry_cream_sweet_roll_glow_berry, #ffb24d
glow_berry_cream_white_chocolate, #ffd3a1
glow_berry_ice_cream_bowl, #b8913e
glow_berry_ice_cream_bucket, #d4c6a2
glow_berry_ice_cream_cone, #ffc564
glow_berry_ice_cream_sandwich, #a55716
glow_berry_ice_cream_stick, #a58944
glow_berry_jam_bottle, #fffff0
glow_berry_jam_bucket, #d0b996
glow_berry_jam_chocolate_donut, #a46429
glow_berry_jam_donut, #ff9b2f
glow_berry_jam_sandwich, #c9943c
glow_berry_juice_bottle, #ebdcb8
glow_berry_juice_bucket, #c3b49b
glow_berry_milkshake_bottle, #faeac8
glow_berry_milkshake_bucket, #d6bfac
glow_berry_muffin, #e8780a
glow_berry_pie, #ffc969
glow_berry_pie_filling_bucket, #cab59b
glow_berry_pie_slice, #ffb155
glow_berry_popsicle, #fbbf6b
graham_cracker, #ff8615
graham_cracker_chocolate, #eb5a16
graham_cracker_chocolate_marshmallow, #ffaa7c
graham_cracker_crumbs, #ea6515
graham_cracker_marshmallow, #ffbc82
graham_cracker_pie_crust, #c95f12
gray_gelatin_dessert_slice, #707d83
gray_gelatin_mix_bucket, #9ea0a0
green_gelatin_dessert_slice, #83af18
green_gelatin_mix_bucket, #9b9e93
grilled_cheese_sandwich, #e39e15
ground_beef, #8d4337
ground_chicken, #fff4dc
ground_endermite, #c861f8
ground_mutton, #bb4341
ground_pork, #ac4d34
ground_rabbit, #ffe4e4
ground_sausage, #98483c
gyro_meat_block, #724026
gyro_meat_slice, #7c462f
hamburger, #a07225
hamburger_bacon, #ac732f
hamburger_bacon_lettuce, #96792a
hamburger_bacon_lettuce_tomato, #9b702a
hamburger_crimson_fungus, #a85f1e
hamburger_lettuce, #8d7c28
hamburger_lettuce_tomato, #937329
hamburger_onion, #be893d
hamburger_onion_bacon, #b27933
hamburger_onion_bacon_lettuce, #9d7f30
hamburger_onion_lettuce, #97842f
hamburger_peanut_butter, #ab7323
hamburger_peanut_butter_bacon, #b5782c
hamburger_tomato, #a06b26
hamburger_warped_fungus, #8c7837
hash_brown_fried_egg_plate, #d6a758
hash_brown_plate, #b68634
hash_brown_toast_plate, #ca9430
hash_browns, #ffff7a
heavy_cream_bottle, #ffffff
heavy_cream_bucket, #d9d2ca
hollow_chocolate, #cc5e52
hollow_dark_chocolate, #622d1b
hollow_white_chocolate, #ffd4ac
honey_sandwich, #d7a72f
honeyed_apple_slice, #fff078
honeyed_berries, #ffd01f
honeyed_biscuit, #ffcc18
honeyed_chocolate_cupcake, #e09d2f
honeyed_chocolate_donut, #ffb229
honeyed_chocolate_sweet_roll, #ffc22d
honeyed_cupcake, #ffbe43
honeyed_donut, #ffca2d
honeyed_mini_waffle, #ffbb3d
honeyed_muffin, #ffb122
honeyed_pretzel_stick, #f8bf3e
honeyed_sweet_roll, #ffd433
honeyed_toast, #dea21c
hot_chocolate_bottle, #e6cdd4
hot_chocolate_bucket, #c0aaa5
hot_dark_chocolate_bottle, #d0bfc8
hot_dark_chocolate_bucket, #aea09d
hot_white_chocolate_bottle, #ffffff
