// Compost colors for railways. You may add your own colors, change existing ones, or remove colors that aren't needed.
benchcart, #947f69
gray_hinged_locometal_door, #707075
gray_locometal_end_ladder, #6b6b6f
gray_locometal_rung_ladder, #6e6e72
gray_paint_pitcher, #b2d2f2
gray_sliding_locometal_door, #7d7d82
green_folding_locometal_door, #44a15b
green_hinged_locometal_door, #3c9e55
green_locometal_end_ladder, #2c9a4e
green_locometal_rung_ladder, #2da050
green_paint_pitcher, #98e6e6
green_sliding_locometal_door, #52b162
handcar, #b4a294
hinged_locometal_door, #6c5e64
jukeboxcart, #847268
light_blue_folding_locometal_door, #7cd7f8
light_blue_hinged_locometal_door, #78d4f7
light_blue_locometal_end_ladder, #6ed4f7
light_blue_locometal_rung_ladder, #6fd9fb
light_blue_paint_pitcher, #b4feff
light_blue_sliding_locometal_door, #8ae8ff
light_gray_folding_locometal_door, #c5c5c9
light_gray_hinged_locometal_door, #c3c3c8
light_gray_locometal_end_ladder, #c0c0c8
light_gray_locometal_rung_ladder, #c6c6ca
light_gray_paint_pitcher, #d6f5ff
light_gray_sliding_locometal_door, #d2d2d3
lime_folding_locometal_door, #6fb54e
lime_hinged_locometal_door, #65b44a
lime_locometal_end_ladder, #58b13e
lime_locometal_rung_ladder, #5eb540
lime_paint_pitcher, #aff0de
lime_sliding_locometal_door, #80c358
limestone_folding_locometal_door, #ffffe8
limestone_hinged_locometal_door, #ffffeb
limestone_locometal_end_ladder, #fffff0
limestone_locometal_rung_ladder, #fffff4
limestone_paint_pitcher, #f4ffff
limestone_sliding_locometal_door, #fffff8
locometal_end_ladder, #66585c
locometal_rung_ladder, #695b61
magenta_folding_locometal_door, #e35ea1
magenta_hinged_locometal_door, #dd589e
magenta_locometal_end_ladder, #dc4b97
magenta_locometal_rung_ladder, #e1509a
magenta_paint_pitcher, #e3c6ff
magenta_sliding_locometal_door, #f16bac
maroon_folding_locometal_door, #9d3c44
maroon_hinged_locometal_door, #983943
maroon_locometal_end_ladder, #962f3d
maroon_locometal_rung_ladder, #9a323e
maroon_paint_pitcher, #c5b9e0
maroon_sliding_locometal_door, #aa464a
ochrum_folding_locometal_door, #e8b273
ochrum_hinged_locometal_door, #e7b170
ochrum_locometal_end_ladder, #e8af6f
ochrum_locometal_rung_ladder, #edb572
ochrum_paint_pitcher, #e3eef2
ochrum_sliding_locometal_door, #f2c27a
olive_green_folding_locometal_door, #739d5b
olive_green_hinged_locometal_door, #6c9a57
olive_green_locometal_end_ladder, #5f964d
olive_green_locometal_rung_ladder, #649a4e
olive_green_paint_pitcher, #b1e4e6
olive_green_sliding_locometal_door, #84ab65
orange_folding_locometal_door, #ff8a6b
orange_hinged_locometal_door, #fe8469
orange_locometal_end_ladder, #ff7c66
orange_locometal_rung_ladder, #ff8069
orange_paint_pitcher, #f0daf0
orange_sliding_locometal_door, #ff9a75
paint_brush, #d2b49d
pine_green_folding_locometal_door, #166e4a
pine_green_hinged_locometal_door, #156b47
pine_green_locometal_end_ladder, #f6646
pine_green_locometal_rung_ladder, #116946
pine_green_paint_pitcher, #8dd2e0
pine_green_sliding_locometal_door, #1e794b
pink_folding_locometal_door, #ff8ac5
pink_hinged_locometal_door, #ff89c0
pink_locometal_end_ladder, #ff83bc
pink_locometal_rung_ladder, #ff89c3
pink_paint_pitcher, #fbddff
pink_sliding_locometal_door, #ff9bd7
purple_folding_locometal_door, #9b66c6
purple_hinged_locometal_door, #9461c3
purple_locometal_end_ladder, #8a58c0
purple_locometal_rung_ladder, #905cc6
purple_paint_pitcher, #c2caff
purple_sliding_locometal_door, #ac72d6
red_folding_locometal_door, #c0555a
red_hinged_locometal_door, #bf515a
red_locometal_end_ladder, #bb4652
red_locometal_rung_ladder, #c04854
red_paint_pitcher, #d4c2e6
red_sliding_locometal_door, #d26262
remote_lens, #d3b887
royal_blue_folding_locometal_door, #4d5b9b
royal_blue_hinged_locometal_door, #4a5797
royal_blue_locometal_end_ladder, #465190
royal_blue_locometal_rung_ladder, #485494
royal_blue_paint_pitcher, #a4c8ff
royal_blue_sliding_locometal_door, #5268a5
sandy_paint_pitcher, #c9faff
scorchia_folding_locometal_door, #36403d
scorchia_hinged_locometal_door, #343d3d
scorchia_locometal_end_ladder, #303939
scorchia_locometal_rung_ladder, #333d3c
scorchia_paint_pitcher, #9bbfde
scorchia_sliding_locometal_door, #3e4a46
sea_green_folding_locometal_door, #48878e
sea_green_hinged_locometal_door, #44828a
sea_green_locometal_end_ladder, #3a7c84
sea_green_locometal_rung_ladder, #3d8289
sea_green_paint_pitcher, #9edcfe
sea_green_sliding_locometal_door, #54969a
sliding_locometal_door, #786c72
track_acacia, #b16c46
track_acacia_narrow, #ae6c48
track_acacia_wide, #b56e47
track_bamboo, #869741
track_bamboo_narrow, #879344
track_bamboo_wide, #879841
track_birch, #d2b47d
track_birch_narrow, #ccae7a
track_birch_wide, #d4b880
track_blackstone, #6c5832
track_blackstone_narrow, #735e2f
track_blackstone_wide, #6c5834
track_cherry, #ffb6a5
track_cherry_narrow, #f7af9d
track_cherry_wide, #ffbbab
track_create_andesite_narrow, #a29186
track_create_andesite_wide, #aa9b91
track_crimson, #a5624b
track_crimson_narrow, #a86948
track_crimson_wide, #a56450
track_dark_oak, #7a5533
track_dark_oak_narrow, #7f5837
track_dark_oak_wide, #7c5533
track_ender, #ccd4a8
track_ender_narrow, #bbc39e
track_ender_wide, #d0d9ac
track_incomplete_acacia, #b46840
track_incomplete_acacia_narrow, #c37f5a
track_incomplete_acacia_wide, #c37f5a
track_incomplete_bamboo, #acb854
track_incomplete_bamboo_narrow, #bcc66c
track_incomplete_bamboo_wide, #bcc66c
track_incomplete_birch, #dac084
track_incomplete_birch_narrow, #e6cf97
track_incomplete_birch_wide, #e6cf97
track_incomplete_blackstone, #584733
track_incomplete_blackstone_narrow, #6f614e
track_incomplete_blackstone_wide, #6f614e
track_incomplete_cherry, #f19691
track_incomplete_cherry_narrow, #fba7a2
track_incomplete_cherry_wide, #fba7a2
track_incomplete_create_andesite_narrow, #b6aea8
track_incomplete_create_andesite_wide, #b6aea8
track_incomplete_crimson, #9b5251
track_incomplete_crimson_narrow, #ac6b69
track_incomplete_crimson_wide, #ac6b69
track_incomplete_dark_oak, #724d2a
track_incomplete_dark_oak_narrow, #876546
track_incomplete_dark_oak_wide, #876546
track_incomplete_ender, #f0f5bb
track_incomplete_ender_narrow, #fafec9
track_incomplete_ender_wide, #fafec9
track_incomplete_jungle, #bc865e
track_incomplete_jungle_narrow, #ca9875
track_incomplete_jungle_wide, #ca9875
track_incomplete_mangrove, #a25248
track_incomplete_mangrove_narrow, #b26b62
track_incomplete_mangrove_wide, #b26b62
track_incomplete_monorail, #41474d
track_incomplete_oak, #ac8a58
track_incomplete_oak_narrow, #bc9d6f
track_incomplete_oak_wide, #bc9d6f
track_incomplete_phantom, #5a64a5
track_incomplete_spruce, #8c6946
track_incomplete_spruce_narrow, #9e7f5f
track_incomplete_spruce_wide, #9e7f5f
track_incomplete_stripped_bamboo, #ddbe61
track_incomplete_stripped_bamboo_narrow, #e8cc78
track_incomplete_stripped_bamboo_wide, #e8cc78
track_incomplete_tieless, #ab8265
track_incomplete_tieless_narrow, #e0c3af
track_incomplete_tieless_wide, #e0c3af
track_incomplete_twilightforest_mangrove, #a25248
track_incomplete_twilightforest_mangrove_narrow, #b26b62
track_incomplete_twilightforest_mangrove_wide, #b26b62
track_incomplete_warped, #5aa787
track_incomplete_warped_narrow, #72b89a
track_incomplete_warped_wide, #72b89a
track_jungle, #b8835e
track_jungle_narrow, #b5825e
track_jungle_wide, #bc8661
track_mangrove, #a25a4d
track_mangrove_narrow, #a25c4e
track_mangrove_wide, #a45b4d
track_monorail, #464e51
track_oak, #ab875a
track_oak_narrow, #a8845a
track_oak_wide, #ac8a5b
track_phantom, #65739b
track_spruce, #906e4b
track_spruce_narrow, #916e4d
track_spruce_wide, #916e4a
track_stripped_bamboo, #d4b55f
track_stripped_bamboo_narrow, #cfac5f
track_stripped_bamboo_wide, #dab962
track_tieless, #ab8265
track_tieless_narrow, #ab8265
track_tieless_wide, #ab8265
track_twilightforest_mangrove, #a25a4d
track_twilightforest_mangrove_narrow, #a25c4e
track_twilightforest_mangrove_wide, #a45b4d
track_warped, #6fa879
track_warped_narrow, #78a770
track_warped_wide, #6faa7d
tuff_folding_locometal_door, #949787
tuff_hinged_locometal_door, #949786
tuff_locometal_end_ladder, #949484
tuff_locometal_rung_ladder, #989889
tuff_paint_pitcher, #c3e3fe
tuff_sliding_locometal_door, #a1a493
turquoise_folding_locometal_door, #3db1ac
turquoise_hinged_locometal_door, #36acaa
turquoise_locometal_end_ladder, #28aaa8
turquoise_locometal_rung_ladder, #29afac
turquoise_paint_pitcher, #97eeff
turquoise_sliding_locometal_door, #48c0b8
vermilion_folding_locometal_door, #e06f62
vermilion_hinged_locometal_door, #dd6961
vermilion_locometal_end_ladder, #e0615c
vermilion_locometal_rung_ladder, #e6645f
vermilion_paint_pitcher, #e3cfeb
vermilion_sliding_locometal_door, #ee7c6b
white_folding_locometal_door, #ffffff
white_hinged_locometal_door, #ffffff
white_locometal_end_ladder, #ffffff
white_locometal_rung_ladder, #ffffff
white_paint_pitcher, #ffffff
white_sliding_locometal_door, #ffffff
yellow_folding_locometal_door, #ffcd6b
yellow_hinged_locometal_door, #ffcc69
yellow_locometal_end_ladder, #ffc861
yellow_locometal_rung_ladder, #ffcf66
yellow_paint_pitcher, #f7f8ee
yellow_sliding_locometal_door, #ffde7c
